audit_id,coverage_area,status,target_layer,target_doc,target_section,target_id,resolution_type,canonical_owner,notes
A-WN-0024,retention_tests,covered,L4,CHECKLIST_LAYER3_REPO매핑,Test / Audit Mapping,WN.L4.07,direct,tests/test_fun_retention_engine.py,"retention signal tested"
A-WN-0025,end_to_end_top_tier_reader_perception,covered,L2,CHECKLIST_LAYER1_목표조건,Layer 1 목표 정의,WN.L2.04,direct,tests/test_top_tier_perception.py,"end-to-end perception stack now compares strong vs weak episode across causality, ceiling, and gate"
A-WN-0026,repo_truth_validator_runtime,covered,L3,CHECKLIST_LAYER2_모듈책임,Post-Patch Verification Module,WN.L3.14,direct,engine/integrated_validator.py,"validator now checks repo-truth files, core imports, and governance alignment without older generic assumptions"
A-WN-0027,coverage_csv_lineage,covered,A1,COVERAGE_AUDIT,repo_specific_audit,WN.A1.01,direct,docs/governance/COVERAGE_AUDIT.csv,"imported generic audit replaced with repo-specific audit"
A-WN-0028,autonomous_loop_runner,covered,L5,CHECKLIST_METHOD_패치,Patch Application Pipeline,WN.L5.02,direct,scripts/autonomous_codex_loop.sh,"bounded WSL Codex loop runner added with preflight/postflight validation and ledger logging"
A-WN-0029,payoff_integrity_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.15,direct,engine/quality_gate.py,"acceptance gate now fails low payoff integrity or payoff corruption in projected promise state"
A-WN-0030,world_instability_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.16,direct,engine/quality_gate.py,"acceptance gate now rejects projected world instability beyond threshold to protect coherence and long-run logic"
A-WN-0031,serialization_novelty_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.17,direct,engine/quality_gate.py,"acceptance gate now rejects projected pattern overuse, portfolio crowding, novelty debt, and low novelty guard to protect serialization freshness and retention stability"
A-WN-0032,live_conflict_thread_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.18,direct,engine/quality_gate.py,"acceptance gate now rejects episodes that spike conflict without carrying enough unresolved threads to sustain serialized conflict heat and payoff runway"
A-WN-0033,cliffhanger_validity_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.19,direct,"engine/quality_gate.py; engine/cliffhanger_engine.py","acceptance gate now directly rejects weak or low-pressure cliffhangers to protect addictive episode endings and carryover retention"
A-WN-0034,protagonist_momentum_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.20,direct,"engine/quality_gate.py; engine/character_arc.py","acceptance gate now rejects projected episodes where protagonist backlash overwhelms progress, protecting persuasive protagonist fantasy and character-pressure credibility"
A-WN-0035,prose_readability_gate,covered,L3,CHECKLIST_LAYER2_모듈책임,Semantic Validation Module,WN.L3.21,direct,"engine/quality_gate.py; engine/prose_guard.py","acceptance gate now rejects structurally strong episodes whose sentence and paragraph flow creates wall-of-text prose friction, protecting readable Korean web-novel delivery"
A-WN-0036,prose_readability_tests,covered,L4,CHECKLIST_LAYER3_REPO매핑,Test / Audit Mapping,WN.L4.08,direct,tests/test_quality_gate.py,"quality gate coverage now proves readable prose passes while dense wall-of-text episodes fail even when surface hook/retention scores are strong"
A-WN-0037,rewrite_failure_code_coverage,covered,L3,CHECKLIST_LAYER2_모듈책임,Repair Policy Module,WN.L3.22,direct,"engine/prompts.py; tests/test_prompt_rewrite_feedback.py","rewrite prompt now emits targeted repair guidance for current gate failure codes, reducing rejection loops that previously depended on generic retries"
